SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 2277, process 47, arrives at disk1.
At time 2283, process 48, exits the cpu.
At time 2283, process 49, arrives at cpu.
At time 2299, process 49, exits the cpu.
At time 2299, process 49, exits the SYSTEM.
At time 2299, process 44, arrives at cpu.
At time 2318, process 50, arrival.
At time 2319, process 44, exits the cpu.
At time 2319, process 44, exits the SYSTEM.
At time 2319, process 50, arrives at cpu.
At time 2327, process 50, exits the cpu.
At time 2327, process 50, exits the SYSTEM.
At time 2355, process 45, exits the disk2.
At time 2355, process 45, arrives at cpu.
At time 2355, process 48, arrives at disk2.
At time 2372, process 45, exits the cpu.
At time 2372, process 45, exits the SYSTEM.
At time 2374, process 51, arrival.
At time 2374, process 51, arrives at cpu.
At time 2393, process 14, exits the network.
At time 2393, process 11, arrives at network.
At time 2395, process 47, exits the disk1.
At time 2413, process 52, arrival.
At time 2416, process 51, exits the cpu.
At time 2416, process 51, arrives at disk1.
At time 2416, process 14, arrives at cpu.
At time 2422, process 14, exits the cpu.
At time 2422, process 14, exits the SYSTEM.
At time 2422, process 47, arrives at cpu.
At time 2432, process 47, exits the cpu.
At time 2432, process 47, exits the SYSTEM.
At time 2432, process 52, arrives at cpu.
At time 2434, process 53, arrival.
At time 2441, process 52, exits the cpu.
At time 2441, process 52, exits the SYSTEM.
At time 2441, process 53, arrives at cpu.
At time 2456, process 53, exits the cpu.
At time 2456, process 53, exits the SYSTEM.
At time 2476, process 54, arrival.
At time 2476, process 54, arrives at cpu.
At time 2495, process 48, exits the disk2.
At time 2516, process 55, arrival.
At time 2523, process 54, exits the cpu.
At time 2523, process 54, exits the SYSTEM.
At time 2523, process 48, arrives at cpu.
At time 2559, process 56, arrival.
At time 2565, process 51, exits the disk1.
At time 2571, process 48, exits the cpu.
At time 2571, process 48, exits the SYSTEM.
At time 2571, process 55, arrives at cpu.
At time 2589, process 55, exits the cpu.
At time 2589, process 56, arrives at cpu.
At time 2610, process 56, exits the cpu.
At time 2610, process 56, exits the SYSTEM.
At time 2610, process 51, arrives at cpu.
At time 2630, process 57, arrival.
At time 2657, process 51, exits the cpu.
At time 2657, process 51, exits the SYSTEM.
At time 2657, process 57, arrives at cpu.
At time 2664, process 58, arrival.
At time 2699, process 57, exits the cpu.
At time 2699, process 57, exits the SYSTEM.
At time 2699, process 58, arrives at cpu.
At time 2724, process 59, arrival.
At time 2739, process 58, exits the cpu.
At time 2739, process 58, arrives at disk1.
At time 2739, process 59, arrives at cpu.
At time 2753, process 60, arrival.
At time 2759, process 59, exits the cpu.
